,Dow,Tod,SpeedLike
1018,0.0,24046,0
1019,0.0,25246,0
1020,0.0,26446,0
1021,0.0,27647,0
1022,0.0,28847,0
1023,0.0,30047,0
1024,0.0,31248,0
1025,0.0,32448,0
1026,0.0,33648,0
1027,0.0,34849,0
1028,0.0,36049,0
1029,0.0,37249,0
1030,0.0,38450,0
1031,0.0,39650,0
1032,0.0,40850,0
1033,0.0,42051,0
1034,0.0,43251,0
1035,6.0,48026,2
1036,6.0,49227,29
1037,6.0,50427,13
1038,6.0,51628,17
1039,6.0,52828,7
1040,6.0,54028,7
1041,6.0,55229,5
1042,6.0,56429,8
1043,6.0,57629,3
1044,6.0,58830,2
1045,6.0,60030,11
1046,6.0,61230,0
1047,6.0,62431,5
1048,6.0,63631,2
1049,6.0,64831,6
1050,6.0,66032,3
1051,6.0,67232,2
1052,6.0,68432,1
1053,6.0,69633,1
1054,6.0,70833,5
1055,6.0,72033,1
1056,6.0,73234,2
1057,6.0,74434,3
1058,6.0,75634,1
1059,6.0,76835,3
1060,6.0,78035,0
1061,6.0,79235,0
1062,6.0,80436,2
1063,6.0,81636,3
1064,6.0,82836,0
1065,6.0,84037,0
1066,6.0,85237,0
1067,0.0,37,0
1068,0.0,1238,0
1069,0.0,2438,1
1070,0.0,3638,0
1071,0.0,4839,1
1072,0.0,6039,0
1073,0.0,7239,0
1074,0.0,8442,0
1075,0.0,9642,0
1076,0.0,10843,1
1077,0.0,12043,0
1078,0.0,13243,0
1079,0.0,14444,0
1080,0.0,15644,0
1081,0.0,16844,0
1082,0.0,18045,2
1083,0.0,19245,0
1084,0.0,20445,1
1085,0.0,21645,1
1086,0.0,22846,0
1087,0.0,24046,0
1088,0.0,25246,0
1089,0.0,26446,0
1090,0.0,27647,0
1091,0.0,28847,1
1092,0.0,30047,0
1093,0.0,31248,0
1094,0.0,32448,0
1095,0.0,33648,1
1096,0.0,34849,0
1097,0.0,36049,0
1098,0.0,37249,0
1099,0.0,38450,0
1100,0.0,39650,0
1101,0.0,40850,0
1102,0.0,42051,0
1103,0.0,43251,0
1104,0.0,44452,0
1105,0.0,45652,0
1106,0.0,46852,0
1107,0.0,48053,1
1108,0.0,49253,0
1109,0.0,50453,1
1110,0.0,51654,0
1111,0.0,52854,0
1112,0.0,54054,0
1113,0.0,55255,0
1114,0.0,56455,1
1115,0.0,57655,0
1116,0.0,58856,0
1117,0.0,60056,0
1118,0.0,61256,0
1119,0.0,62457,0
1120,0.0,63657,0
1121,0.0,64857,1
1122,0.0,66058,0
1123,0.0,67258,0
1124,0.0,68458,0
1125,0.0,69659,0
1126,0.0,70859,0
1127,0.0,72059,0
1128,0.0,73260,0
1129,0.0,74460,1
1130,0.0,75660,0
1131,0.0,76861,1
1132,0.0,78061,0
1133,0.0,79261,1
1134,0.0,80462,0
1135,0.0,81662,0
1136,0.0,82862,0
1137,0.0,84063,0
1138,0.0,85263,0
1139,1.0,63,0
1140,1.0,1264,0
1141,1.0,2464,0
1142,1.0,3665,0
1143,1.0,4865,0
1144,1.0,6065,0
1145,1.0,7266,0
1146,1.0,8466,0
1147,1.0,9666,0
1148,1.0,10867,0
1149,1.0,12067,0
1150,1.0,13267,0
1151,1.0,14468,0
1152,1.0,15668,0
1153,1.0,16868,0
1154,1.0,18069,0
1155,1.0,19269,0
1156,1.0,20469,0
1157,1.0,21670,0
1158,1.0,22870,0
1159,1.0,24071,0
1160,1.0,25271,0
1161,1.0,26471,0
1162,1.0,27671,1
1163,1.0,28872,0
1164,1.0,30072,0
1165,1.0,31272,0
1166,1.0,32473,0
1167,1.0,33673,0
1168,1.0,34873,0
1169,1.0,36074,0
1170,1.0,37274,0
1171,1.0,38474,0
1172,1.0,39675,0
1173,1.0,40875,0
1174,1.0,42075,0
1175,1.0,43276,0
1176,1.0,44476,1
1177,1.0,45677,0
1178,1.0,46877,0
1179,6.0,68432,17
1180,6.0,69633,16
1181,6.0,70833,11
1182,6.0,72033,9
1183,6.0,73234,11
1184,6.0,74434,9
1185,6.0,75634,11
1186,6.0,76835,5
1187,6.0,78035,4
1188,6.0,79235,1
1189,6.0,80436,9
1190,6.0,81636,3
1191,6.0,82836,4
1192,6.0,84037,0
1193,6.0,85237,2
1194,0.0,37,0
1195,0.0,1238,0
1196,0.0,2438,1
1197,0.0,3638,0
1198,0.0,4839,0
1199,0.0,6039,0
1200,0.0,7239,0
